Product Code,Short Description,RRP,Price,Pack Size,MfrPartNum
3M49290,3M 836RP-30EU REFILL CLOTH 30 SHEETS,2.96,2.23,1,836RP-30EU
3M49838,3M POSTIT DIECUT CBE ARROW 225 RNBW PK12,99.57,55.1,1,3M34983
3M49869,3M POSTIT DIECUT CUBE HEART PINK PK12,99.57,55.1,1,2007H
3M49872,POST-IT SS LINED NOTES MIAMI XXL,19.34,6.65,3,4690-SS3-MIA
3M49873,POST-IT SS NOTES MIAMI 47.6X47.6MM,19.1,6.82,12,622-12SS-MIA
3M49941,POST-IT SS NOTES MIAMI 76 X 76MM,16.06,5.54,6,654-6SS-MIA
3M50218,SCOTCH CLASSIC SCOURING PADS PK3X12,20.84,15.64,1,223
3M50754,3M SPRAYMOUNT ADHESIVE 200ML 3M,13.73,5.07,1,HSMOUNT
3M50773,3M PHOTOMOUNT ADHESIVE 400ML 3M,25.26,8.39,1,PHMOUNT
3M50789,3M DISPLAYMOUNT ADHESIVE 400ML 3M,18.68,8.16,1,DMOUNT
3M50876,3M POSTIT INDEX REFILL 4COLOURS,6.86,2.69,1,683-4
3M50879,3M POSTIT INDEX REFILL 4 STANDARD ARROWS,7.34,3.06,1,684-ARR3
